Name,Competitors Sold Here,Astra Prospect?,Type,Address,City / Region,Phone,Email,Contact Page,Instagram,Website,Open Times,Status,Last Contacted,Notes / Warm Intros,Needs Review,Source
Dimes Deli,Savoure,,Deli/market,"143 Division St, New York, NY 10002","New York, NY",(212) 240-9410,dimesmarket@dimesnyc.com,,,https://dimesnyc.com/deli,,Not contacted,,,,Competitor list + Retail leads tab
Dimes Market,,Yes,Market,"143 Division St, New York, NY 10002","New York, NY",(646) 870-5113,dimesmarket@dimesnyc.com,,@dimestimes,https://dimesnyc.com/market,,Not contacted,,,,Competitor list + Retail leads tab
EAST VILLAGE FARM,NON,,Grocery Store,"69 2nd Ave, New York, NY 10003","New York, NY",(212) 477-1385,,https://www.eastvillagemeatmarket.com/contact,,https://www.mercato.com/shop/east-village-farm-grocery?srsltid=AfmBOoqFiZfLRoqCfy4PJYV5mMd-QnM9j0KQ2jbfCxt9nbqWAqIuFlzr,,Not contacted,,,,Competitor list
EDITION HOTELS,NON,,Hotel,"5 Madison Avenue, Manhattan, NY, 10010","New York, NY",(212) 413-4200,info.nyc@editionhotels.com,,,https://www.editionhotels.com/,,Not contacted,,,,Competitor list
ELEVEN MADISON PARK,Unified Ferments,,Fine dining restaurant,"11 Madison Ave, New York, NY 10010","New York, NY",(212) 889-0905,infoemp@elevenmadisonpark.com,,,www.elevenmadisonpark.com,,Not contacted,,,,Competitor list + Retail leads tab
ESSENTIAL BY CHRISTOPHE,NON,,French Restaurant,"2178 Broadway, New York, New York 10024","New York, NY",(646) 478-7928,,https://www.essentialbychristophe.com/contact-essential-nyc/,,https://www.essentialbychristophe.com/,,Not contacted,,,,Competitor list
ETC VENUE,NON,,Event Venue,"East 54th Street, New York, New York 10022","New York, NY",(646) 844-6004,,,,https://convene.com/locations/new-york-city/601-lexington-avenue/,,Not contacted,,odd event espace,,Competitor list
FELICE 64,NON,,Italian Restaurant,"1166 1st avenue (at 64th street) - New York, NY 10065","New York, NY",(212) 593-2223,felice64@felicerestaurants.com,,,https://www.felicerestaurants.com/felice-64/,,Not contacted,,,,Competitor list
FREVO,NON,,Fine Dining Restaurant,"48 West 8th Street, New York, New York 10011","New York, NY",(646) 455-0804,,,,https://frevonyc.com/,,Not contacted,,,,Competitor list
Gem,Unified Ferments,Yes,Specialty grocery store,"181 Mott St, New York, NY 10012","New York, NY",,info@gemhomenyc.com,,,www.gemhomenyc.com,,Not contacted,,*stocks UF + NON,,Competitor list + Retail leads tab
GRAMERCY TAVERN,NON,,American Restaurant,"42 East 20th Street, New York, New York 10003","New York, NY",(212) 477-0777,gtavern@gramercytavern.com,,,www.gramercytavern.com,,Not contacted,,,,Competitor list
HAGS,NON,,Fine Dining Restaurant,"167 1st Avenue, New York, New York 10003","New York, NY",(845) 871-2252,info@hagsnyc.com,,,hagsnyc.com,,Not contacted,,,,Competitor list
HAPPIER GROCERY,NON,Yes,Grocery Store,"369 Canal Street, New York, New York 10013","New York, NY",(212) 837-8015,PARTNERSHIPS@HAPPIERGROCERY.COM,,,https://www.happiergrocery.com/,,Not contacted,,this one is cool!,,Competitor list + Retail leads tab
HOTEL ON RIVINGTON,NON,,Hotel,"107 Rivington Street, New York, New York 10002","New York, NY",(212) 475-2600,,https://www.hotelonrivington.com/contact/,,www.hotelonrivington.com,,Not contacted,,,,Competitor list
HUSO,NON,,Fine Dining Restaurant,"323A Greenwich Street, New York, NY 10013","New York, NY",(212) 931-4876,huso@husony.com,,,https://husony.com/contact-us/,,Not contacted,,,,Competitor list
ILILI Midtown,NON,,Lebanese Restaurant,"157 E 53rd St, New York, NY 10022","New York, NY",(646) 653-0330,midtowncontact@ililirestaurants.com,,,https://www.ililirestaurants.com/,,Not contacted,,,,Competitor list
ILILI Nomad,NON,,Lebanese Restaurant,"236 5th Ave, New York, NY 10001","New York, NY",(212) 683-2929,,https://www.ililirestaurants.com/contact/,,https://www.ililirestaurants.com/,,Not contacted,,,,Competitor list
Joyface,,Yes,Bar,"104 Loisaida Ave, New York, NY 10009","New York, NY",(917) 261-2166,info@joyface.nyc,,,www.joyface.nyc,,Not contacted,,,,Competitor list + Retail leads tab
JUA,NON,,Korean Restaurant,"36 East 22nd Street, New York, New York 10010","New York, NY",(646) 590-1598,info@juanyc.com,,,www.juanyc.com,,Not contacted,,,,Competitor list
KIKO,NON,,Asian Restaurant,"307 Spring Street, New York, New York 10013","New York, NY",,Info@kikonewyork.com,,,https://www.kikonewyork.com/about,,Not contacted,,,,Competitor list
Kingston Hall,,Yes,Bar,"149 2nd Ave, New York, NY 10003","New York, NY",,info@kingstonhall.com,,,www.kingstonhall.com,,Not contacted,,,,Competitor list + Retail leads tab
L ABEILLE,NON,,French Restaurant,"412 Greenwich Street, New York, New York 10013","New York, NY",(212) 542-3898,info@labeille.nyc,,,https://www.labeille.nyc/,,Not contacted,,,,Competitor list
LE CHENE,NON,,French Restaurant,"76 Carmine Street, New York, New York 10014","New York, NY",,bonjour@lechenenyc.com,,,https://www.lechenenyc.com/,,Not contacted,,,,Competitor list
Le Dive LES,,Yes,Wine bar,"37 Canal St, New York, NY 10002","New York, NY",,info@ledivenyc.com,,,https://www.ledivenyc.com/,,Not contacted,,,,Competitor list + Retail leads tab
Le Dive West Village,,Yes,Wine bar,"192 7th Ave S, New York, NY 10014","New York, NY",,info@ledivenyc.com,,,https://www.ledivenyc.com/,,Not contacted,,,,Competitor list + Retail leads tab
LifeThyme Natural Market,Savoure,,Natural market,"410 6th Ave, New York, NY 10011","New York, NY",(212) 420-1600,CS@lifethymemarket.com,,,https://www.lifethymemarket.com/contact,,Not contacted,,,,Competitor list + Retail leads tab
Lovers of Today,,Yes,Bar,"132 1/2 E 7th St, New York, NY 10009","New York, NY",(212) 614-9798,info@loversoftodaynyc.com,,,loversoftodaynyc.com,,Not contacted,,,,Competitor list + Retail leads tab
LUTHUN,Unified Ferments,,Fine dining,"432 E 13th St, New York, NY 10009","New York, NY",(646) 454-9484,info@luthun.com,,,https://www.luthun.com/,,Not contacted,,,,Competitor list + Retail leads tab
Meadow Lane,NON,,Grocery Store,"361 Greenwich Street, New York, New York 10013","New York, NY",,info@meadowlane.nyc,,,https://www.meadowlane.nyc/,,Not contacted,,,,Competitor list
MEDUZA MEDITERRANIA,NON,,Mediterranean Restaurant,"657 Hudson Street, New York, New York 10014","New York, NY",(646) 435-6544,,https://www.meduza33.com/contact,,www.meduza33.com,,Not contacted,,,,Competitor list
MISSION CHINESE,Unified Ferments,,Chinese Restaurant,"45 Mott Street, Manhattan, NY, 10013","New York, NY",(646) 368-9819,info@missionchinesefood.com,,,www.missionchinesefood.com,,Not contacted,,,,Competitor list + Retail leads tab
MIXTECA,NON,,Bar,"1 Cornelia St, New York, NY 10014","New York, NY",,mixteca@onecornelia.com,,,,,Not contacted,,,,Competitor list
MOONFLOWER,Unified Ferments,,Wine Bar,"201 West 11th Street, Manhattan, NY 10014, USA","New York, NY",,hey@moonflower.nyc,,,https://www.moonflower.nyc/,,Not contacted,,,,Competitor list + Retail leads tab
Mr Fongs,,Yes,Bar,"40 Market St, New York, NY 10002","New York, NY",(646) 964-4540,,https://www.mrfongs.com/,,https://www.mrfongs.com/,,Not contacted,,,,Competitor list + Retail leads tab
NARO,Unified Ferments,,Korean restaurant,"610 5th Avenue, Manhattan, NY, 10020","New York, NY",(212) 202-0206,info@naronyc.com,,,naronyc.com,,Not contacted,,,,Competitor list + Retail leads tab
NEUEHOUSE CANTEEN,NON,,Event Venue,"110 East 25th Street, New York, New York 10010","New York, NY",(917) 508-0412,hello@neuehouse.com,,,https://www.neuehouse.com/,,Not contacted,,,,Competitor list
NICHE NICHE at Pearl Box,Unified Ferments,,Bar/Event Space,"357 W Broadway, New York, NY 10013","New York, NY",(646) 370-4146,info@pearlboxnyc.com,,,https://www.nichenichenyc.com/,,Not contacted,,this is where we went to stella groove and met Jasper in nyc,,Competitor list + Retail leads tab
NOURY,NON,,Restaurant,"137 Sullivan Street, New York, New York 10012","New York, NY",,info@nourynewyork.com,,,https://www.nourynewyork.com/,,Not contacted,,,,Competitor list
NOZ 17,NON,,Sushi Restaurant,"458 West 17th Street, New York, New York 10011","New York, NY",(917) 338-1792,reservations@sushinoz.com,,,https://www.noz.global/experience/noz-17,,Not contacted,,,,Competitor list
NUDIBRANCH,Unified Ferments,,Korean restaurant,"Nudibranch, 125, 1st Avenue, East Village, Manhattan Community Board 3, Manhattan, New York County, New York, 10009, United States","New York, NY",(646) 918-7926,admin@nudibranchnyc.com,,,nudibranchnyc.com,,Not contacted,,,,Competitor list + Retail leads tab
PERGOLA,NON,,Mediterranean Restaurant,"36 West 28th Street, New York, New York 10001","New York, NY",(212) 679-4842,info@pergolanewyork.com,,,www.pergolanewyork.com,,Not contacted,,,,Competitor list
PINCH CHINESE,Unified Ferments,,Chinese Restaurant,"177 Prince St, New York, NY 10012","New York, NY",(212) 328-7880,nihao@pinchchinese.com,,,www.pinchchinese.com,,Not contacted,,,,Competitor list + Retail leads tab
PLEASE DONT TELL,NON,,Cocktail Bar,"113 Saint Marks Place, New York, New York 10009","New York, NY",,,https://www.pdtnyc.com/private-events,,https://www.pdtnyc.com/,,Not contacted,,,,Competitor list
Quorum by Convene,NON,,Event Venue,"1221 6th Ave, New York, NY 10020","New York, NY",(888) 730-7307,,,,https://convene.com/locations/new-york-city/1221-avenue-of-the-americas/,,Not contacted,,,,Competitor list
Ray's,,Yes,Bar,"177 Chrystie St, New York, NY 10002","New York, NY",,,https://www.raysbarnyc.com/contact/,,www.raysbarnyc.com/location/les,,Not contacted,,,,Competitor list + Retail leads tab
ROEYS,NON,,Pizza Restaurant,"59 Greenwich Avenue, New York, New York 10014","New York, NY",(646) 864-1200,info@roeysnyc.com,https://www.roeysnyc.com/contact/,,,,Not contacted,,,,Competitor list
ROSEMARYS,NON,,Italian Restaurant,"18 Greenwich Ave, New York, NY 10011","New York, NY",(212) 647-1818,info@rosemarysnyc.com,,,https://www.rosemarysnyc.com/location/rosemarys-west-village/,,Not contacted,,,,Competitor list
ROSEMARYS EAST,NON,,Italian Restaurant,"350 1st Avenue, New York, New York 10010","New York, NY",(646) 868-5335,info@rosemarysnyc.com,,,https://www.rosemarysnyc.com/location/rosemarys-east/,,Not contacted,,,,Competitor list
ROXY HOTEL,NON,,Hotel,"2 6th Avenue, New York, New York 10013","New York, NY",(212) 519-6600,info@roxyhotelnyc.com,,,www.roxyhotelnyc.com,,Not contacted,,,,Competitor list
RUFFIAN,Unified Ferments,,Wine Bar,"125 East 7th Street, Manhattan, NY, 10009","New York, NY",(347) 674-1618,ruffianbar@gmail.com,,,https://ruffiannyc.com/,,Not contacted,,,,Competitor list + Retail leads tab
SAGA,Unified Ferments,,Fine Dining,"70 Pine St, 63rd Floor, New York, NY 10005, USA","New York, NY",(212) 339-3963,"reservations@saga-nyc.com, careers@saga-nyc.com",,,https://www.saga-nyc.com/,,Not contacted,,kenthospitalitygroup,,Competitor list + Retail leads tab
SHOSH,NON,,Mediterranean Restaurant,"41 Greenwich Avenue, New York, New York 10014","New York, NY",(646) 850-0297,info@shosh.nyc,,,https://www.shosh.nyc/,,Not contacted,,,,Competitor list
Silence Please,,Yes,Tea house and listening room,"132 Bowery, Fl 2, New York, NY 10013","New York, NY",,,https://silenceplease.com/pages/contact,,silenceplease.com,,Not contacted,,,,Competitor list + Retail leads tab
SMITH & MILLS Rockefeller Plz,NON,,Cocktail Bar,"30 Rockefeller Plz, New York, New York 10112","New York, NY",,,https://www.smithandmills.com/contact,,https://www.smithandmills.com/,,Not contacted,,,,Competitor list
SMITH & MILLS TriBeCa,NON,,Cocktail Bar,"71 North Moore Street, Manhattan, NY, 10013","New York, NY",,,https://www.smithandmills.com/contact,,https://www.smithandmills.com/,,Not contacted,,,,Competitor list
SOHO GRAND HOTEL,NON,,Hotel,"310 West Broadway, Manhattan, NY, 10013","New York, NY",(212) 965-3000,,https://www.sohogrand.com/contact/,,www.sohogrand.com,,Not contacted,,Grand Bar & Salon 212) 965-3588,,Competitor list
SOMM TIME,"NON, Unified Ferments",,Bar,"254 Broome Street, Manhattan, NY, 10002","New York, NY",(212) 860-0401,rustmaria1977@gmail.com,,,https://sommtimenyc.com/,,Not contacted,,,,Competitor list + Retail leads tab
SPIRITED AWAY,"NON, Unified Ferments",,Liquor Store,"228 8th Ave, New York, NY 10011","New York, NY",(929) 277-2520,,https://www.spiritedaway.co/pages/contact,,www.spiritedaway.co,,Not contacted,,,,Competitor list + Retail leads tab
SUSHI NOZ,NON,,Sushi Restaurant,"181 East 78th Street, New York, New York 10075","New York, NY",(917) 338-1792,reservations@sushinoz.com,,,www.sushinoz.com,,Not contacted,,,,Competitor list
TEN BELLS,Unified Ferments,,Wine Bar,"247 Broome St, New York, NY 10002","New York, NY",(212) 228-4450,info@tenbellsnyc.com,,,https://tenbellsnyc.com/contact/,,Not contacted,,,,Competitor list + Retail leads tab
TERROIR TRIBECA,NON,,Wine Bar,"24 Harrison Street, New York, New York 10013","New York, NY",(212) 625-9463,info@wineisterroir.com,,,https://www.wineisterroir.com/,,Not contacted,,,,Competitor list
THE BRONZE OWL,NON,,Cocktail Bar,"49 West 32nd Street, New York, New York 10001","New York, NY",(646) 838-9026,info@thebronzeowlnyc.com,,,https://thebronzeowlnyc.com/,,Not contacted,,,,Competitor list
The Getaway 151,Unified Ferments,,American Resutrant,"743 Riverside Dr, New York, NY 10031, USA","New York, NY",,thegetaway151@gmail.com,,,https://riversideparknyc.org/parks/the-getaway-151/,,Not contacted,,super cool spot! I'd go here in middle school,,Competitor list + Retail leads tab
THE MANNER,NON,,Resort hotel,"52 Thompson Street, New York, New York 10012","New York, NY",(929) 526-3330,press@soho.themanner.com,,,https://themanner.com/,,Not contacted,,,,Competitor list
The Maze,,Yes,Alcohol-free members club,"43 W 24th St, New York, NY 10010","New York, NY",,membership@localhost.com,,,https://www.themazenyc.com/contact-us/,,Not contacted,,,,Competitor list + Retail leads tab
THE OMA,NON,,Cafe,"2754 Frederick Douglass Blvd, New York, NY 10039","New York, NY",(646) 360-4918,shop@theomahome.com,,,https://www.theomashop.com/,,Not contacted,,,,Competitor list
The Spaniard,,Yes,Bar,"190 W 4th St, New York, NY 10014","New York, NY",(212) 918-1986,events@thespaniardnyc.com,,,https://www.thespaniardnyc.com/info/,,Not contacted,,,,Competitor list + Retail leads tab
TIME AGAIN,,Yes,Bar,"105 Canal St, New York, NY 10002","New York, NY",,timeagainbar@gmail.com,,https://www.instagram.com/timeagainbar/?hl=en,,,Not contacted,,,,Competitor list + Retail leads tab
TONCHIN,Unified Ferments,,Japanese Restaurant,"13 W 36th St., New York, NY 10018","New York, NY",(646) 692-9912,info@foodexny.com,,,www.tonchinus.com,,Not contacted,,,,Competitor list + Retail leads tab
Verlaine,,Yes,Cocktail bar,"110 Rivington St, New York, NY 10002","New York, NY",(212) 614-2494,verlaineevents@gmail.com,,,www.verlainenyc.com,,Not contacted,,Max is cousins with the owner Gary,,Competitor list + Retail leads tab
Wild Sorrel Cookbooks,,Yes,Cookbook shop,"332 E 13th Street, New York, NY 10003","New York, NY",,,https://wildsorrelcookbooks.com/contact,,https://wildsorrelcookbooks.com/artisans,,Not contacted,,,,Retail leads tab
WILDAIR,Unified Ferments,,New American,"142 Orchard St, New York, NY 10002","New York, NY",(646) 964-5624,info@wildair.nyc,,,wildair.nyc,,Not contacted,,,,Competitor list + Retail leads tab
Zabar's,Savoure,,Specialty grocery,"2245 Broadway, New York, NY 10024","New York, NY",(212) 787-2000,info@zabars.com,,,zabars.com,,Not contacted,,,,Competitor list + Retail leads tab
Enjoy Ceremony,,Yes,Non alc bottle shop & bar,"806 Baldwin Ave, Norfolk VA","Norfolk, VA",,,,@enjoyceremony,,,Not contacted,,,,Retail leads tab
LITTLE FLOWER,Unified Ferments,,Coffe Shop,"25-35 36th Ave, Astoria, NY 11106","Queens, NY",,,,https://www.instagram.com/littleflowercafe/,,,Not contacted,,very cool social media prescence,,Competitor list + Retail leads tab
LAKE SIDE EMOTIONS,NON,,Liquor Store,"113 Main St, Stony Brook, NY 11790","Stony Brook, NY",(631) 675-2750,info@lakesideemotions.com,,,https://lakesideemotions.com/,,Not contacted,,,,Competitor list
Anto,Unified Ferments,,,,,,,,,,,Not contacted,,,No address; No contact info,Retail leads tab
Asphalt Green,,Yes,Sports facility,,,,,,,,,Not contacted,,,No address; No contact info,Retail leads tab
Bolero,Unified Ferments,,,,,,,,,,,Not contacted,,,No address; No contact info,Retail leads tab
Brooklyn Bouldering Project,,Yes,Climbing gym,,,,,,https://www.instagram.com/brooklynboulderingproject/,,,Not contacted,,,No address,Retail leads tab
Canyon Grocer,,Yes,Small Grocer,,,,kurt@kurt@whey.com,,,,,Not contacted,,Owner: Kurt,No address; Email looks malformed,Retail leads tab
Lofty Pigeon Books,,Yes,Book store,,,,,,https://www.instagram.com/loftypigeonbooks/,,,Not contacted,,,No address,Retail leads tab
Mena,Unified Ferments,,,,,,,,,,,Not contacted,,,No address; No contact info,Retail leads tab
No More Cafe,,Yes,N/a bar,,,,,,,,,Not contacted,,,No address; No contact info,Retail leads tab
Village Grocery & Refillery,Savoure,,,,,,,,,,,Not contacted,,,No address; No contact info,Retail leads tab
White Tiger,Unified Ferments,,,,,,,,,,,Not contacted,,,No address; No contact info,Retail leads tab
White Tiger Tavern,Unified Ferments,,,,,,,,,,,Not contacted,,,No address; No contact info,Retail leads tab
Winona’S,Unified Ferments,,,,,,,,,,,Not contacted,,,No address; No contact info,Retail leads tab
& Sons Buttery,Savoure,,Buttery,"447 Rogers Ave, Brooklyn, NY 11225","Brooklyn, NY",(347) 789-3422,,,,,,Closed,,,,Competitor list + Retail leads tab
BAR MERIDIAN,Unified Ferments,,,"406 Prospect Place, Brooklyn, NY, 11238","Brooklyn, NY",,,,,,,Closed,,,,Competitor list + Retail leads tab
BLANCA,Unified Ferments,,,"261 Moore Street, Brooklyn, NY, 11206","Brooklyn, NY",,,,,,,Closed,,,,Competitor list + Retail leads tab
DAUGHTER,Unified Ferments,,,"Daughter, 1090, Saint Johns Place, Eastern Parkway, Brooklyn, Kings County, New York, 11213, United States","Brooklyn, NY",,,,,,,Closed,,,,Competitor list + Retail leads tab
Foragers Market,Savoure,,Market,"56 Adams St, Brooklyn, NY 11201","Brooklyn, NY",(718) 801-8400,,,,,,Closed,,,,Competitor list + Retail leads tab
FORT DEFIANCE,Unified Ferments,,,"354 Van Brunt Street, Brooklyn, NY, 11231","Brooklyn, NY",,,,,,,Closed,,,,Competitor list + Retail leads tab
FULGURANCES LAUNDROMAT,Unified Ferments,,,"132 Franklin Street, Brooklyn, NY, 11222","Brooklyn, NY",,,,,,,Closed,,,,Competitor list + Retail leads tab
ILIS,"NON, Unified Ferments",,Restaurant,"148 Green Street, New York, New York 11222","Brooklyn, NY",,,,,,,Closed,,,,Competitor list + Retail leads tab
ODDLY ENOUGH,Unified Ferments,,,"397 Tompkins Ave, Brooklyn, NY 11216, USA","Brooklyn, NY",,,,,,,Closed,,,,Competitor list + Retail leads tab
R&D Foods,Savoure,,Specialty foods,"602 Vanderbilt Ave, Brooklyn, NY 11238","Brooklyn, NY",,,,,,,Closed,,,"Possibly same site as ""GERTIE"" — check",Competitor list + Retail leads tab
PATISSERIE CHANSON,NON,,Bakery,"155 West 70th Street, New York, New York 10023","New York, NY",,,,,,,Closed,,,,Competitor list
PEOPLE'S WINE,Unified Ferments,,,"115 Delancey Street, Manhattan, NY, 10002","New York, NY",,,,,,,Closed,,,,Competitor list + Retail leads tab
